text,label
"I absolutely loved this movie, the acting was wonderful and the story was moving.",positive
"This film was boring, too long, and I regret watching it.",negative
A charming and funny review of friendship. I smiled throughout.,positive
Terrible pacing and flat characters. Nothing worked for me.,negative
"Not perfect, but still a warm and enjoyable film with heart.",positive
I did not like the script and the ending made no sense.,negative
"Brilliant soundtrack, strong cast, and an ending that stayed with me.",positive
The jokes were weak and the movie felt cheap and lazy.,negative
Surprisingly thoughtful and emotional. Definitely recommended.,positive
I never felt connected to the characters; the whole thing was dull.,negative
"A smart, entertaining thriller with excellent tension.",positive
"Awful dialogue, bad editing, and not a single memorable scene.",negative
The performances are good and the direction is confident.,positive
"Messy plot, noisy soundtrack, and far too much filler.",negative
One of the best movies I have seen this year.,positive
It tries hard to be clever but ends up annoying.,negative
"Heartfelt, sincere, and beautifully shot.",positive
I would not recommend this to anyone.,negative
"Funny, moving, and unexpectedly deep.",positive
Predictable and painfully slow from start to finish.,negative
